Date,Number of cases,,,
1-Jan-14,1,,,
2-Jan-14,13,,,
3-Jan-14,19,,,
4-Jan-14,8,,,
5-Jan-14,5,,,
6-Jan-14,23,,,
7-Jan-14,25,,,
8-Jan-14,26,,,
9-Jan-14,30,,,
10-Jan-14,23,,,
11-Jan-14,4,,,
12-Jan-14,6,,,
13-Jan-14,21,,,
14-Jan-14,27,,,
15-Jan-14,25,,,
16-Jan-14,30,,,
17-Jan-14,30,,,
18-Jan-14,2,,,
19-Jan-14,2,,,
20-Jan-14,6,,,
21-Jan-14,25,,,
22-Jan-14,28,,,
23-Jan-14,27,,,
24-Jan-14,27,,,
25-Jan-14,3,,,
26-Jan-14,1,,,
27-Jan-14,25,,,
28-Jan-14,24,,,
29-Jan-14,25,,,
30-Jan-14,21,,,
31-Jan-14,24,,,
1-Feb-14,5,,,
2-Feb-14,2,,,
3-Feb-14,27,,,
4-Feb-14,25,,,
5-Feb-14,31,,,
6-Feb-14,24,,,
7-Feb-14,22,,,
8-Feb-14,6,,,
9-Feb-14,4,,,
10-Feb-14,25,,,
11-Feb-14,23,,,
12-Feb-14,23,,,
13-Feb-14,25,,,
14-Feb-14,22,,,
15-Feb-14,4,,,
16-Feb-14,11,,,
17-Feb-14,6,,,
18-Feb-14,23,,,
19-Feb-14,26,,,
20-Feb-14,25,,,
21-Feb-14,21,,,
22-Feb-14,10,,,
23-Feb-14,3,,,
24-Feb-14,24,,,
25-Feb-14,23,,,
26-Feb-14,30,,,
27-Feb-14,27,,,
28-Feb-14,28,,,
1-Mar-14,2,,,
2-Mar-14,7,,,
3-Mar-14,29,,,
4-Mar-14,25,,,
5-Mar-14,24,,,
6-Mar-14,29,,,
7-Mar-14,28,,,
8-Mar-14,5,,,
9-Mar-14,3,,,
10-Mar-14,21,,,
11-Mar-14,20,,,
12-Mar-14,24,,,
13-Mar-14,29,,,
14-Mar-14,19,,,
15-Mar-14,2,,,
16-Mar-14,5,,,
17-Mar-14,23,,,
18-Mar-14,23,,,
19-Mar-14,33,,,
20-Mar-14,27,,,
21-Mar-14,30,,,
22-Mar-14,3,,,
23-Mar-14,4,,,
24-Mar-14,29,,,
25-Mar-14,29,,,
26-Mar-14,26,,,
27-Mar-14,24,,,
28-Mar-14,25,,,
29-Mar-14,2,,,
30-Mar-14,5,,,
31-Mar-14,28,,,
1-Apr-14,24,,,
2-Apr-14,22,,,
3-Apr-14,28,,,
4-Apr-14,23,,,
5-Apr-14,2,,,
6-Apr-14,3,,,
7-Apr-14,22,,,
8-Apr-14,20,,,
9-Apr-14,20,,,
10-Apr-14,28,,,
11-Apr-14,11,,,
12-Apr-14,10,,,
13-Apr-14,8,,,
14-Apr-14,25,,,
15-Apr-14,27,,,
16-Apr-14,27,,,
17-Apr-14,24,,,
18-Apr-14,22,,,
19-Apr-14,4,,,
20-Apr-14,4,,,
21-Apr-14,28,,,
22-Apr-14,26,,,
23-Apr-14,28,,,
24-Apr-14,28,,,
25-Apr-14,17,,,
26-Apr-14,3,,,
27-Apr-14,4,,,
28-Apr-14,31,,,
29-Apr-14,25,,,
30-Apr-14,21,,,
1-May-14,20,,,
2-May-14,27,,,
3-May-14,6,,,
4-May-14,8,,,
5-May-14,26,,,
6-May-14,30,,,
7-May-14,25,,,
8-May-14,33,,,
9-May-14,18,,,
10-May-14,5,,,
11-May-14,2,,,
12-May-14,21,,,
13-May-14,23,,,
14-May-14,19,,,
15-May-14,28,,,
16-May-14,25,,,
17-May-14,6,,,
18-May-14,6,,,
19-May-14,27,,,
20-May-14,28,,,
21-May-14,22,,,
22-May-14,28,,,
23-May-14,24,,,
24-May-14,5,,,
25-May-14,4,,,
26-May-14,7,,,
27-May-14,30,,,
28-May-14,23,,,
29-May-14,24,,,
30-May-14,24,,,
31-May-14,6,,,
1-Jun-14,5,,,
2-Jun-14,30,,,
3-Jun-14,28,,,
4-Jun-14,29,,,
5-Jun-14,24,,,
6-Jun-14,25,,,
7-Jun-14,6,,,
8-Jun-14,3,,,
9-Jun-14,22,,,
10-Jun-14,29,,,
11-Jun-14,18,,,
12-Jun-14,24,,,
13-Jun-14,19,,,
14-Jun-14,4,,,
15-Jun-14,3,,,
16-Jun-14,25,,,
17-Jun-14,20,,,
18-Jun-14,23,,,
19-Jun-14,24,,,
20-Jun-14,14,,,
21-Jun-14,4,,,
22-Jun-14,6,,,
23-Jun-14,19,,,
24-Jun-14,29,,,
25-Jun-14,21,,,
26-Jun-14,16,,,
27-Jun-14,22,,,
28-Jun-14,3,,,
29-Jun-14,4,,,
30-Jun-14,20,,,
1-Jul-14,16,,,
